basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20251125,004170,KR7004170007,신세계,KOSPI,209000,-7000,-3.24,214000,215000,208000,54980,11564673000,9645181,2015842829000
20251125,0041B0,KR70041B0002,교보18호스팩,KOSDAQ,2045,10,.49,2035,2045,2030,1133,2308535,5040000,10306800000
20251125,0041J0,KR70041J0004,엘에스스팩1호,KOSDAQ,1999,2,.1,2005,2005,1990,28627,57116488,4110000,8215890000
20251125,0041L0,KR70041L0000,하나35호스팩,KOSDAQ,1997,-1,-.05,1998,1999,1981,5938,11809747,6030000,12041910000
20251125,004250,KR7004250007,NPC,KOSPI,3825,-165,-4.14,3960,3965,3825,34377,133030927,36720000,140454000000
20251125,004255,KR7004251005,NPC우,KOSPI,2460,-35,-1.4,2480,2500,2445,13078,32251170,5280000,12988800000
20251125,004270,KR7004270005,남성,KOSPI,857,17,2.02,840,858,832,25074,21168424,36212160,31033821120
20251125,004310,KR7004310009,현대약품,KOSPI,3545,0,0,3545,3610,3500,83976,297201726,32000000,113440000000
20251125,004360,KR7004360004,세방,KOSPI,13300,10,.08,13300,13400,13150,56508,746969890,19115603,254237519900
20251125,004365,KR7004361002,세방우,KOSPI,8910,70,.79,8970,8970,8780,1753,15471480,3689250,32871217500
20251125,004370,KR7004370003,농심,KOSPI,441500,-12500,-2.75,456500,456500,439000,32510,14477706750,6082642,2685486443000
20251125,004380,KR7004380002,삼익THK,KOSPI,9960,0,0,0,0,0,0,0,21000000,209160000000
20251125,004410,KR7004410007,서울식품,KOSPI,152,3,2.01,149,152,149,2358552,355644372,390175136,59306620672
20251125,004415,KR7004411005,서울식품우,KOSPI,1215,7,.58,1200,1215,1200,16110,19517078,2224500,2702767500
20251125,004430,KR7004430005,송원산업,KOSPI,8890,-110,-1.22,9020,9070,8880,39777,355259080,24000000,213360000000
20251125,004440,KR7004440004,삼일씨엔에스,KOSPI,4215,-55,-1.29,4270,4360,4165,11743,49515661,12731947,53665156605
20251125,004450,KR7004450003,삼화왕관,KOSPI,30000,350,1.18,29800,30350,29700,1211,36223950,2154379,64631370000
20251125,004490,KR7004490009,세방전지,KOSPI,59800,100,.17,60000,60500,59500,38632,2315694300,14000000,837200000000
20251125,0044K0,KR70044K0008,삼성스팩10호,KOSDAQ,1993,0,0,1993,1995,1985,7996,15916677,7520000,14987360000
20251125,004540,KR7004540001,깨끗한나라,KOSPI,1950,-2,-.1,1941,1963,1935,28388,55190832,37240693,72619351350
20251125,004545,KR7004541009,깨끗한나라우,KOSPI,11140,-140,-1.24,11050,11140,11050,44,486830,366160,4079022400
20251125,004560,KR7004560009,현대비앤지스틸,KOSPI,10470,-130,-1.23,10700,10750,10450,28332,298490250,15078811,157875151170
20251125,004590,KR7004590006,한국가구,KOSDAQ,4755,-5,-.11,4750,4820,4715,32643,154962646,15000000,71325000000
20251125,004650,KR7004650008,창해에탄올,KOSDAQ,10280,110,1.08,10220,10340,10170,127547,1310263885,9190885,94482297800
20251125,004690,KR7004690004,삼천리,KOSPI,122500,-1300,-1.05,125000,125500,121000,11876,1453854900,4055025,496740562500
20251125,004700,KR7004700001,조광피혁,KOSPI,67000,-200,-.3,67200,68100,65900,5135,343690000,6649138,445492246000
20251125,004710,KR7004710000,한솔테크닉스,KOSPI,5790,-30,-.52,5900,5950,5780,96128,560864255,32109878,185916193620
