연번,과제명,사업명,공고명,세부공고명,사업년도,주관기관,관리기관,전문기관,산업기술분류
253,감 탄닌추출물을 이용하여 생분해 가능한 식물성수지 개발 및 이를 이용한 식물성가죽(비건가죽) 고도화제품 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,나지나,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>그린 바이오>기타 그린바이오 제품/기술
254,액체생검기반 암유전자변이 검출기술을 도입한 반려견 암 조기진단을 위한 유전자검사 서비스 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 펫온코케어,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>융합 바이오>바이오마커 기반기술
255,Context-aware 생성형 AI를 활용한 영상 콘텐츠 생성 솔루션,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)맥케이,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
256,150kw급 20% 이상 성능효율 Twin Impeller 적용다목적 터보블로워 “에어프로텍 2.0” 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 에어프로텍,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>에너지/환경기계 시스템>수처리 설비
257,탄소섬유 Spread Tow 적용 두께가 100㎛이하 초슬림 박판재 열가소성 Prepreg 시트 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,컴퍼지트원,중소기업기술정보진흥원,중소기업기술정보진흥원,화학>섬유 재료>섬유강화 복합재료
258,지역난방공사용 이중보온관 연결부 마감소재 PEX 타입 열수축케이싱 연구개발 및 사업화,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 은안,중소기업기술정보진흥원,중소기업기술정보진흥원,세라믹>세라믹 공정 기술>성형·가공기술
259,맞춤형 네일아트 디자인 제작을 위한 생성형 AI 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,디앤유,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
260,발전효율 극대화를 위한 음향방출신호 활용 인공지능 기반 능동형 소형풍력발전기  구조건전성 예지진단 CPS(사이버물리시스템),창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)씨피엑스시스템즈,중소기업기술정보진흥원,중소기업기술정보진흥원,에너지ㆍ자원>신재생에너지>풍력
261,"액티브웨어(애슬레저의류)의 반복세탁 20회 후,흡한속건4등급, Qmax: 0.18J/cm2/s급의 성능이 지속가능한 섬유 원단 가공기술 개발",창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)케이바이오텍,중소기업기술정보진흥원,중소기업기술정보진흥원,화학>섬유 제조 공정>섬유가공기술
262,오물 비산을 차단하는 무동력/무수조 위생형 양변기 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)이캅스,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>기타연구개발/엔지니어링관련기술
263,바이오인포매틱스를 활용한 민감피부 조절 신소재 발굴 및 이를 함유하는 민감피부용 고기능성 화장품 시제품 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)큐티스의생명연구센터,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>산업 바이오>기능성 화장품소재
264,반려견 생애주기별 피부 특징 맞춤형 비건(Vegen) 펫 샴푸 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)프레시버블,중소기업기술정보진흥원,중소기업기술정보진흥원,화학>정밀 화학>화장품/소재
265,40ft 급 컨테이너 적층형 Smart Farm System 용 복합열원 히트펌프 시스템 개발 및 실증,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 디엠솔루텍,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>그린 바이오>식물공장 활용기술
266,AI Nutrition : 영양학과 딥러닝의 융합을 통한 개인 맞춤형 식단 관리 시스템,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,이유사회적협동조합,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
267,산업안전 합성데이터 생성 및 비전 AI 솔루션 검증을 위한 산업현장 작업자 행동 에이전트 모델 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,어나더리얼,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
268,부산물을 결합재와 반응성 골재로 90% 이상 활용한 3시간 50MPa 발현 초속경 고강도 몰탈,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)씨에스엠,중소기업기술정보진흥원,중소기업기술정보진흥원,세라믹>생활 세라믹>시멘트·콘크리트
269,스마트팩토리 산재 예방을 위한 산업용 로봇 안전관리 시스템 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,디버스,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>계측 기기>안전감시/진단 계측제어기
270,3D 프린터 기반 약물 탑재 고기능성 스캐폴드 개발을 통한 맞춤형 재생용 의료기기 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,홀로스메딕 주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>기능복원/보조 및 복지기기>임플란트
271,세발나물 추출물을 유효성분으로 하는 미백 신원료 개발 및 기능성 화장품 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)이투바이오,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>산업 바이오>기능성 화장품소재
272,시각 디자이너 콘텐츠 보호 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,커네팅,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>디지털콘텐츠>디지털 콘텐츠 제작 및 유통
273,SAM(Segment Anything Model)기반 이미지 데이터 어노테이션 시스템 플랫폼 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사늘푸른씨앤,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
274,인체공학적 구조설계 및 천연 부산물을 적용한 아동화 제조기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,나라찬,중소기업기술정보진흥원,중소기업기술정보진흥원,화학>고분자재료>고분자 재활용기술
275,2.5D 가공 기법을 통한 고미술품 및 문화유산의 촉각적 재현 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,픽섬컴퍼니,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>디지털콘텐츠>콘텐츠 창작 기획
276,인공지능 기반 완전 자동화 서베이 서비스 플랫폼 구축을 위한 대규모 서베이 모형 기반의 설문지 자동 생성 기술 및 AutoML 기반의 서베이 분석 프로세스 자동화 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)에스티이노베이션,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>기타연구개발/엔지니어링관련기술
277,항노화 식품 개발을 위한 복합조성물(탈지 헴프씨드·메밀·쌀)의 식품원료화 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,잇웍스 eatworks,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>산업 바이오>기능성 식품소재
278,전해조 냉각 장치가 필요 없는 전해 효율 70%이상 저발열 직립 및 모듈형 전해 차염발생기 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)이제이워터,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>에너지/환경기계 시스템>수처리 설비
279,AI 기반 CCTV 통합 영상 분석 기술이 적용된 불법주정차 단속 시스템 구축,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,나무소프트 주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
280,초음파가공으로 유효성분 증진된 오미자 추출물을 이용한 탈모 완화 화장품 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 에스비씨,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>산업 바이오>기능성 화장품소재
281,운동성 기반 항노화/건강수명 증대물질 효능평가 자동화 및 고도화,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,에이징랩 주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>시험/검사/분석기법
282,식물 생장에 필요한 CEC 50 cmolc/kg 이상의 용량을 가지는 목질계 바이오 폼 소재의 스마트팜용 및 화훼용 제품 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,노스노비,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>산업 바이오>바이오매스
283,2D 캐릭터 스타일 가이드 생성형 AI 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)모드랩,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
284,비소세포폐암의 면역관문효소인 ART1을 표적하는 인간화 항체 면역 치료제 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,윈드바이오,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>의약 바이오>항체의약품
285,"신개념 무기나노스피어 약물전달 플랫폼 기반 여드름, 주사비 복합제제 제조 기술",창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,엠피오스,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>의약 바이오>기타 의약바이오 제품/기술
286,Openpose와 Yolo v8를 활용한 이상 체형 분석 및 헬스 트레이너 추천 솔루션 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 착한사람들컴퍼니,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
287,세계 최초 드론코딩 프로그램 통합 솔루션 및 이를 이용한 차세대 자기주도학습형 코딩드론 플랫폼 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 씨앤케이에어로,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>디지털콘텐츠>가상현실
288,다중 동물 자세 추정 및 움직임 예측을 통한 말벌 인식 및 퇴치 시스템 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 제트플로우,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
289,소장 질환 환자의 삶의 질 향상을 위한 소장 캡슐내시경 진단 보조 및 중증도 판정 시스템 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 캡토스,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>치료기기및 진단기기>지능형 판독시스템
290,반도체 식각 공정에서 배출되는 불산계 폐식각액의 ZERO 배출 및 자원회수 공정 기술개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)세중이에스,중소기업기술정보진흥원,중소기업기술정보진흥원,화학>대기/ 폐기물>폐기물처리 및 재활용 기술
291,농공업용수의 효율적인 여과 및 오염물질 제거를 위한 아이스팩 업사이클링 성분 기반 필터 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,세데나즈,중소기업기술정보진흥원,중소기업기술정보진흥원,에너지ㆍ자원>수화력발전>수화력발전 환경오염방지기술>수질환경
292,노인용 보행 보조차 고도화 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 소나버스,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>기능복원/보조 및 복지기기>이동지원기기
293,논문 작성의 효율성 개선을 위한 참고문헌 인용문 자동 생성 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,머플,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
294,Generative AI 기반 3D 복합 콘텐츠 생성 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,네이션에이,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
295,디자이너-생성AI 협업을 통한브랜드 디자인 매칭 및 메타버스 팝업 스토어 전시 연계 플랫폼 구현,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)헤루,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>인적자원역량개발서비스>지능형 학습지원/관리기술
296,컨베이어 일체형 Telescopic Forks가 적용된 컨테이너형 다단 씨앗 발아시스템 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)그린포드농업회사법인,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>기계 자동화 기술
297,꽃송이버섯 유래 엑소좀과 균사 배양액을 이용한 고품질 더마 화장품 소재 및 제품개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 바이옵트,중소기업기술정보진흥원,중소기업기술정보진흥원,화학>정밀 화학>화장품/소재
298,딥러닝 기반 AI OCR 기술을 활용한 수출입 통관 업무 자동화 솔루션 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,오토패스,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
299,K-콘텐츠의 글로벌 시장 진출과 마케팅을 위한 콘텐츠 최적화 지능형 라이브·VOD 서비스 모듈 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 빅크,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>디지털 방송>디지털 방송 콘텐츠
300,WEB 3.0 기술을 이용하여 온라인 수출 비용을 40% 이상 절감한 크로스보더 D2C SaaS 플랫폼 ‘SOPOGO’ 연구개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 소프트브라운,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>경영전략/금융/무역 서비스>전자무역서비스
301,Laser Scan 3D 측정 기술과 Area Scan Type의 2D 검사 기술이 적용된 반도체 PCB 미세 형상 Bump 외관 검사 복합모듈,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사에이씨테크,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>반도체장비>측정/검사 장비
302,100% AcHA(슈퍼히알루론산)을 활용한 무방부제 생분해성 필름 제조 기술 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)모이스텐,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>산업 바이오>기능성 식품소재
303,턱관절 및 거북목 통증(두통) 완화 특허기술 적용 휴대형 SSP 스마트 셀프홈케어 웨어러블 디바이스,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 피티브로,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>치료기기및 진단기기>기타 치료기기
304,위성기반 e-call 솔루션/서비스 플랫폼 구축을 위한 R&D,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 제이디아이,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>ITS/텔레 매틱스>텔레매틱스 응용서비스
305,비접촉생체신호 측정 기술을 접목한 웨어러블 모듈 기반 산업 재해 예방 플랫폼,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 파미티,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>치료기기및 진단기기>생체신호 측정/진단기기
306,생성형 AI기반으로 원하는 제품을 선택하여 공간에 연출하는 기술과 부분적 편집 및 재생성 기술개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 마이공사,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>디자인>공간/환경디자인기술
307,적재용량 1300L 이상의 초대용량 콜드체인 1회용 포장용기,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)얼라이브,중소기업기술정보진흥원,중소기업기술정보진흥원,세라믹>세라믹 공정 기술>부품 및 패키징 기술
308,Vision AI 기반 디지털 캐스팅 플랫폼 ‘후파(Whofa)’ 기술개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 놀던친구들,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>디지털콘텐츠>디지털 콘텐츠 제작 및 유통
309,전기자동차 이차전지용 250 mAh/g 급 하이니켈 양극재 및 10층이상 적층형 고체배터리,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 이비에스스퀘어,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>전지>이차전지
310,다중이용시설 발질환 예방 및 개선을 위한 신발보관 위생향상 시스템 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)스마트름뱅이,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>가정용기기및전자응용기기>기타 가정용기기 및 전자응용기기
311,정제뱀독펩타이드를 주성분으로 한 피부 및 모발 흡수 촉진용 리포좀 조성물 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,(주)비티에스,중소기업기술정보진흥원,중소기업기술정보진흥원,바이오ㆍ의료>산업 바이오>기능성 화장품소재
312,인공지능 영상자막 에디터 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,소리를보는통로,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>Internet SW
313,Dynamic하게 rendering되는 웹사이트의 특정 범위 페이지 콘텐츠를 LLM 기반 AI 챗봇에 규칙적으로 자동 추가 반영하는 AI 소프트웨어 연구 개발,창업성장기술개발(일반),2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024년도 창업성장기술개발사업 디딤돌(도약_여성참여활성화) 과제 제1차 시행계획 공고,2024 ,주식회사 도슨티,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>Internet SW
