연번,과제명,사업명,공고명,세부공고명,사업년도,주관기관,관리기관,전문기관,산업기술분류
16,"디지털트윈 기반의 공정관리 기능을 갖춘, 지능형 현장 분석/예측 기술을 기반으로 하는, 생산계획의 수립 및 이에 따른 설비배치 시스템 개발",스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주인정보시스템,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>System Integration
17,AIoT와 복합센싱 기반의 친환경 흡수제와 광촉매 기술을 활용한 VOCs 와 미세먼지 제거 및 사업장 환경정보 통합모니터링 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 크레오티,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>에너지/환경기계 시스템>대기오염 방지 설비
18,제조 생태계 내 누적 산포 개선을 위한 작업자 경험치 기반 가변 프로세스 최적화 기술개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,클라우드네트웍스,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>생산공정모델링/시뮬레이션
19,이종소재 메쉬 가스켓을 적용한 레이저 용접 자동화 시스템 기술개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,에스엠에이티(주),중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>자동차/철도차량>차량운동성능 및 진동/소음저감기술
20,AI 및 클라우드 기반 중소-중견기업용 공급망계획 자동화,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,뉴로코어,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>생산공정모델링/시뮬레이션
21,LLM Compiler 활용을 통한 이기종 제조 설비와 작업자의 지능적 통합과 연동,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 비자림,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>임베디드 SW
22,"소량, 다품종 생산 제조기업을 위한 AI기반 수요예측과 확장식 모듈형 물류피킹 자동창고 시스템 기술 개발",스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,지아인홀딩스 주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>유통/ 물류 / 마케팅서비스>지능형기업물류지원기술
23,패키징 인쇄 제조 경험데이터를 활용한 용지기반(Paper-based) 색상조색 AI분석 솔루션,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,오엔에스커뮤니케이션,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
24,15kg급 제품 다품종 소량생산 대응을 위한 모듈화된 협동(산업용) 로봇 시스템 기술개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,영창로보테크,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇 비젼 및 생산자동화 기술
25,중소제조기업 특화형 공장내 물류자동화를 위한 WMS기반복층구조 자동창고 시스템 및 ACS기반 이송로봇 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,삼천산업(주),중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>유통/ 물류 / 마케팅서비스>지능형기업물류지원기술
26,도면 기반으로 3D 모델 자동 생성이 가능한 비용절감형 인터랙티브 디지털트윈 시스템,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,비멕스,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>연구개발/엔지니어링 서비스>생산공정모델링/시뮬레이션
27,AI 기반 Expansion Joint 설계 자동화 및 최적화 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,리브릿지(주),중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>조선/해양시스템>조선/해양시스템관련 IT·SW
28,강마루 품질검사를 위한 지능형 비전 검사 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 이아이피,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇 비젼 및 생산자동화 기술
29,도금공정 적용을 위한 레일 이동식 협동로봇 자동화 시스템과 협동로봇-도금공정 통합 감시제어 소프트웨어 실증 및 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)아라아이티이엔지,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇/자동화기계 관련 IT·SW
30,중소 제조기업 현장 작업자 친화형 제조자산 3차원 획득·변환·관리 기술 개발 [상품명:Factory Studio Suite],스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 디지포레,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
31,이종 복합 센싱 기반 구름 베어링 연삭 공구 팁 수명 주기 관리 플랫폼 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,제이엔이웍스,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>정밀생산기계>정밀생산기계 관련 IT·SW
32,자립형 제조 공정 개선을 위한 생성형 AI 및 3D 시뮬레이션 기반 디지털 팩토리 솔루션 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,컬처릿,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
33,철강 금속표면 Shear LIne 자동화 공정을 위한 지능형시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)피앤씨네트워크,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>RFID/ USN>활용서비스 플랫홈 및 응용SW
